"","Date","Airtemp","AirTmp_14d","WtrTemp_14d","Mo","Yr"
"332",1982-11-28,5.9,10.2571428571429,12.9355448571429,11,1982
"333",1982-11-29,13.5,10.8285714285714,13.5147334285714,11,1982
"334",1982-11-30,11.3,11.3428571428571,14.0360031428571,11,1982
"335",1982-12-01,14.7,11.8285714285714,14.5283134285714,12,1982
"336",1982-12-02,14.8,12.1071428571429,14.8106678571429,12,1982
"337",1982-12-03,15.6,12.3571428571429,15.0640628571429,12,1982
"338",1982-12-04,15.8122964313191,12.4151640308085,15.1228719583469,12,1982
"339",1982-12-05,14.6714115277563,12.4774077113625,15.1859609080828,12,1982
"340",1982-12-06,12.3698208603153,12.3109663442422,15.017259267197,12,1982
"341",1982-12-07,9.1,11.7609663442422,14.459790267197,12,1982
"342",1982-12-08,6.3,11.1823949156708,13.8733618386256,12,1982
"343",1982-12-09,6.1,11.3466806299565,14.0398785529113,12,1982
"344",1982-12-10,2.8,10.9038234870993,13.5910074100541,12,1982
"345",1982-12-11,6.5,10.6752520585279,13.3593319814827,12,1982
"346",1982-12-12,-0.5,10.2181092013851,12.8959811243399,12,1982
"347",1982-12-13,-3.1,9.03239491567077,11.6941648386256,12,1982
"348",1982-12-14,0.3,8.24668062995648,10.8977805529113,12,1982
"349",1982-12-15,9.8,7.89668062995648,10.5430275529113,12,1982
"350",1982-12-16,10.1749722518594,7.5663215050893,10.2081821511284,12,1982
"351",1982-12-17,4.5,6.77346436223216,9.40455800827127,12,1982
"352",1982-12-18,0.2,5.65830033142365,8.27425004992438,12,1982
"353",1982-12-19,-0.6,4.5674852222982,7.16862167161701,12,1982
"354",1982-12-20,4,3.96964087513282,6.56265859821712,12,1982
"355",1982-12-21,2.3,3.48392658941853,6.07034831250283,12,1982
"356",1982-12-22,0.8,3.09106944656139,5.67215616964569,12,1982
"357",1982-12-23,6.6,3.12678373227567,5.70835545535997,12,1982
"358",1982-12-24,10.9,3.7053551608471,6.2947838839314,12,1982
"359",1982-12-25,12.5,4.13392658941853,6.72917531250283,12,1982
