cale_date,sePmo,seNmo,segm
2010-03-15,60,1150,Segment 4
2010-04-15,107.5,NaN,Segment 1
2010-04-15,60,NaN,Segment 2
2010-04-15,50,NaN,Segment 3
2010-04-15,50,740,Segment 4
2010-05-15,100,1152.5,Segment 1
2010-05-15,40,842.5,Segment 2
2010-05-15,35,875,Segment 3
2010-05-15,75,1370,Segment 4
2010-06-15,72.5,935,Segment 1
2010-06-15,30,710,Segment 2
2010-06-15,25,615,Segment 3
2010-06-15,50,825,Segment 4
2010-07-15,117.5,1385,Segment 1
2010-07-15,30,635,Segment 2
2010-07-15,20,565,Segment 3
2010-07-15,50,926.25,Segment 4
2010-08-15,136.25,1235,Segment 1
2010-08-15,40,685,Segment 2
2010-08-15,30,555,Segment 3
2010-08-15,45,790,Segment 4
2010-09-15,110,1172.5,Segment 1
2010-09-15,40,750,Segment 2
2010-09-15,30,655,Segment 3
2010-09-15,37.5,737.5,Segment 4
2010-10-15,90,895,Segment 1
2010-10-15,50,805,Segment 2
2010-10-15,40,950,Segment 3
2010-10-15,65,1205,Segment 4
2010-11-15,55,930,Segment 1
2010-11-15,40,720,Segment 2
2010-11-15,40,900,Segment 3
2010-11-15,45,1065,Segment 4
2010-12-15,55,900,Segment 1
2010-12-15,40,820,Segment 2
2010-12-15,40,900,Segment 3
2010-12-15,40,1395,Segment 4
2011-01-15,40,1105,Segment 1
2011-01-15,30,840,Segment 2
2011-01-15,30,820,Segment 3
2011-01-15,NaN,NaN,Segment 4
2011-02-15,70,1320,Segment 1
2011-02-15,40,890,Segment 2
2011-02-15,30,830,Segment 3
2011-02-15,50,1320,Segment 4
2011-03-15,75,1175,Segment 1
2011-03-15,40,940,Segment 2
2011-03-15,30,850,Segment 3
2011-03-15,85,1355,Segment 4
2011-04-15,95,1345,Segment 1
2011-04-15,50,920,Segment 2
2011-04-15,40,870,Segment 3
2011-04-15,110,1250,Segment 4
2011-05-15,100,1091.25,Segment 1
2011-05-15,35,900,Segment 2
2011-05-15,30,850,Segment 3
2011-05-15,47.5,1130,Segment 4
2011-06-15,77.5,1000,Segment 1
2011-06-15,30,715,Segment 2
2011-06-15,20,625,Segment 3
2011-06-15,37.5,895,Segment 4
2011-07-15,115,1470,Segment 1
2011-07-15,35,760,Segment 2
2011-07-15,20,625,Segment 3
2011-07-15,55,1040.625,Segment 4
2011-08-15,135,1527.5,Segment 1
2011-08-15,35,970,Segment 2
2011-08-15,25,715,Segment 3
2011-08-15,37.5,842.5,Segment 4
2011-09-15,137.5,1502.5,Segment 1
2011-09-15,55,975,Segment 2
2011-09-15,35,850,Segment 3
2011-09-15,40,820,Segment 4
2011-10-15,105,1295,Segment 1
2011-10-15,60,945,Segment 2
2011-10-15,40,850,Segment 3
2011-10-15,55,1480,Segment 4
2011-11-15,70,1017.5,Segment 1
2011-11-15,45,935,Segment 2
2011-11-15,40,1070,Segment 3
2011-11-15,65,1305,Segment 4
